t,x,y
2.726055343,-9.103315610813414e-07,1.8937426676563125e-07
2.736852704,-4.063599298555556e-06,8.72605776950806e-07
2.748480232,-8.833537108137238e-06,1.985466546825616e-06
2.760415133,-1.442471895651571e-05,3.5941918315963908e-06
2.773307435,-2.1397792693122336e-05,4.171309057659318e-06
2.786221124,-2.9001939286266674e-05,4.381307352485826e-06
2.798125749,-3.69972633014002e-05,4.482183937593769e-06
2.809237588,-4.614981834122518e-05,5.406996049238432e-06
2.820881415,-5.665249202985341e-05,1.0581380165472411e-05
2.833291551,-6.742608902071418e-05,1.7136705146495942e-05
2.844220651,-7.739798721973206e-05,2.362652324285411e-05
2.856604331,-8.573304117623966e-05,2.95102054595276e-05
2.867387911,-9.213828320107052e-05,3.467076337773591e-05
2.880528281,-9.734321053297447e-05,3.948994860408024e-05
2.897110925,-0.0001015991218986309,4.409547886482959e-05
2.906161966,-0.00010499761747599905,4.851455701985227e-05
2.921765177,-0.00010781673571555114,5.273613595780475e-05
2.935051897,-0.00011047879364587624,5.673697626914294e-05
2.947391912,-0.00011301578654748182,6.054969425383456e-05
2.957801906,-0.00011544208644696102,6.419593295864542e-05
2.969153838,-0.00011776928840385135,6.769315110317963e-05
2.980453577,-0.00012000769985698496,7.105686657111294e-05
2.993026848,-0.00012216674689287822,7.430126853244837e-05
3.005903215,-0.00012408006883750898,7.717607090347426e-05
3.017504559,-0.00012530003358096793,7.900755604062378e-05
3.029832659,-0.0001262166117698511,8.031827802048252e-05
3.040748499,-0.00012733399976850614,8.054401586417379e-05
3.052015867,-0.00012875647681002706,8.031569339512416e-05
3.063388991,-0.0001305197282445306,8.002798297648047e-05
3.07468931,-0.0001326477980975625,7.97336331504854e-05
3.087035778,-0.00013515724648052382,7.944027308893348e-05
3.098579666,-0.00013806401238339924,7.914925480116512e-05
3.109526118,-0.00014137676402486803,7.88601031408401e-05
3.12107817,-0.00014506880743089118,7.85721498225225e-05
3.131395408,-0.00014912632454142875,7.828515108262513e-05
3.142109264,-0.000153535633207442,7.79307429490748e-05
3.152803267,-0.0001584963752081555,7.761701319702581e-05
3.163981992,-0.00016421678205697128,7.732706256987493e-05
3.175952784,-0.0001707791752040659,7.704009418547562e-05
3.189652299,-0.00017823419589886244,7.675419412098779e-05
3.200421364,-0.0001865952150976822,7.647505419881026e-05
3.211764757,-0.0001957719288390395,7.619892413158504e-05
3.224878329,-0.00020565400607855736,7.592369747446781e-05
3.235933326,-0.00021616011288107424,7.565077726847617e-05
3.24675876,-0.00022722925188767198,7.538072345855923e-05
3.25684212,-0.00023882119618172035,7.511156876394425e-05
3.270311005,-0.0002510128692916726,7.484660115593487e-05
3.282457743,-0.00026405787293251257,7.458756910576629e-05
3.294348586,-0.0002779511101993126,7.433237814809951e-05
3.308114044,-0.00029271762011439956,7.408057815719727e-05
3.321746167,-0.0003083805307282708,7.383124579772018e-05
3.333998898,-0.00032495032684817706,7.358566608807004e-05
3.345314309,-0.00034216786285865605,7.23065876348484e-05
3.356106174,-0.00036489067363031785,7.323719884132565e-05
3.368038828,-0.0003890926359412005,6.955386571557928e-05
3.384679311,-0.0004146757894096034,7.091965801377196e-05
3.39986064,-0.00044037344419455785,7.260335927374625e-05
3.416141465,-0.00046586885589924246,7.27970421420714e-05
3.432720484,-0.0004930242526885809,7.32338743139123e-05
3.446849305,-0.0005233326758407094,6.960751316114006e-05
3.460459428,-0.0005546183064504984,6.914862905424098e-05
3.476019224,-0.0005777919296867081,7.13426980286226e-05
3.494950292,-0.0005800703240221063,7.191671935188253e-05
3.512476106,-0.0005800719045917597,7.191635506896012e-05
3.533664313,-0.0005800733442493334,7.191597824695011e-05
3.549205125,-0.0005800743815565163,7.191567802815866e-05
3.564650631,-0.0005800753408310285,7.191538098377782e-05
3.587365161,-0.0005800762310665354,7.191508788228162e-05
3.605389569,-0.0005800770545019611,7.191480052729264e-05
3.617852403,-0.0005800778060140645,7.191451904748182e-05
3.631553113,-0.0005800785035519384,7.191424553929437e-05
3.644307468,-0.0005800791867871073,7.191398439060663e-05
3.659658173,-0.0005800798216066168,7.191373084734472e-05
3.675081076,-0.0005800804078592509,7.19134891748192e-05
3.690336171,-0.0005800809481217193,7.191325631240538e-05
3.70400156,-0.0005800814455922346,7.191302980094736e-05
3.716242134,-0.0005800819035044705,7.191280949800697e-05
3.734110196,-0.0005800823247665027,7.191259547093985e-05
3.748213576,-0.0005800827120661265,7.191238784420373e-05
3.762428281,-0.0005800830680057351,7.191218679710137e-05
3.774799166,-0.0005800833951739408,7.1911992564098e-05
3.788434637,-0.0005800836956753102,7.19118049147152e-05
3.799351612,-0.0005800839717489395,7.191162391076639e-05
3.809846409,-0.0005800677696237173,7.187932504954908e-05
3.821123458,-0.0005800669825684101,7.187646206325768e-05
3.8326118,-0.0005800653993213792,7.187024547861435e-05
3.84439374,-0.0005800646930037593,7.186612886352691e-05
3.859083934,-0.0005800544105339367,7.183362994083722e-05
3.869954937,-0.0005800517692079272,7.181411360881627e-05
3.880103785,-0.0005800465955803817,7.180233637848294e-05
3.892113166,-0.0005800459182527928,7.179997317675966e-05
3.902472408,-0.0005800451535493013,7.179687314580593e-05
3.913189582,-0.0005800450506914445,7.179626678229358e-05
3.92431669,-0.0005800449550010609,7.179493778790335e-05
3.934925858,-0.0005800446138517221,7.179280152379871e-05
3.945452509,-0.0005800440096780596,7.179071458797794e-05
3.956398889,-0.0005800435059299027,7.178984617198713e-05
3.966633814,-0.0005800430282538183,7.178901280806217e-05
3.977214335,-0.000580043154213887,7.178854815468282e-05
3.98766911,-0.0005800432002420258,7.178842337458185e-05
3.997906957,-0.0005800434845301336,7.17884294883786e-05
4.008204879,-0.0005800432631718373,7.178767318062173e-05
4.018229917,-0.0005800429256948873,7.178719484914162e-05
4.02826082,-0.000580042975265105,7.178694403952896e-05
4.038299216,-0.0005800428431325961,7.178658700363397e-05
4.048540528,-0.0005800428873530168,7.178648913603106e-05
4.05873983,-0.0005800423623049432,7.178564348252507e-05
4.068892487,-0.0005800416680887006,7.178485244811197e-05
4.079067339,-0.0005800410842392283,7.178429480763954e-05
4.089183652,-0.000580041037452397,7.178405397012576e-05
4.099235105,-0.0005800406249678184,7.178331520120212e-05
4.109410968,-0.0005800403361968104,7.178277382987415e-05
4.119785872,-0.0005800402358358296,7.178247630741609e-05
4.130393553,-0.0005800396650712594,7.178178106125488e-05
4.140753127,-0.0005800390551426787,7.178107869312204e-05
4.151078458,-0.0005800389312149556,7.178091563690855e-05
4.161336944,-0.0005800383690372779,7.178037387184041e-05
4.171733243,-0.0005800378390910868,7.177984925487942e-05
4.181819263,-0.0005800373342232153,7.177933519059284e-05
4.191963649,-0.000580037098838913,7.177899520839116e-05
4.20208833,-0.0005800367722877354,7.177870917706428e-05
4.212523092,-0.0005800368444544342,7.177861603037384e-05
4.222659155,-0.0005800368024055065,7.177844869903972e-05
4.23274238,-0.0005800365783496624,7.177819666757176e-05
4.242936643,-0.0005800365396299943,7.177803652433194e-05
4.25291563,-0.0005800365033418117,7.177788630858347e-05
4.262971571,-0.0005800361371327469,7.177756072099446e-05
4.273397575,-0.0005800360904443412,7.177741362001701e-05
4.283497437,-0.0005800360595340261,7.177728130047822e-05
4.293532503,-0.0005800365356203397,7.177741233710747e-05
4.303683444,-0.0005800362664335644,7.177712624819861e-05
4.313727849,-0.0005800362751943308,7.177700812818137e-05
4.323740789,-0.0005800364170046651,7.177697830489929e-05
4.333881194,-0.00058003677421266,7.177704420315077e-05
4.343925138,-0.0005800363389777321,7.177668360228867e-05
4.353928469,-0.0005800361167372396,7.177647874104611e-05
4.364096457,-0.0005800362364613496,7.17764506398173e-05
4.374078315,-0.0005800363956557589,7.177643293407266e-05
4.384141504,-0.0005800358782300603,7.177607363796417e-05
4.394183092,-0.0005800364688084416,7.177630385360261e-05
4.404385732,-0.0005800361251336438,7.177603760230556e-05
4.41442085,-0.0005800361243851904,7.17759447261138e-05
4.424467111,-0.0005800360864437531,7.177584888883883e-05
4.434609782,-0.0005800359239228926,7.177568349115045e-05
4.444641522,-0.0005800357441933211,7.177551526401163e-05
4.454917092,-0.0005800356922391918,7.177542389770865e-05
4.464977344,-0.0005800357750259224,7.177541432349505e-05
4.474990694,-0.0005800357616530501,7.177534000128109e-05
4.485057678,-0.000580035604151501,7.177517975070114e-05
4.495062895,-0.0005800357599498101,7.177518962052246e-05
4.505096592,-0.0005800354385571112,7.177496223634305e-05
4.515342647,-0.0005800355940643025,7.177497215071619e-05
4.525824236,-0.0005800355765556067,7.17749076006725e-05
4.535900466,-0.0005800355485287186,7.177484261369901e-05
4.545916877,-0.0005800352170366096,7.177461782942166e-05
4.555937245,-0.0005800347240982094,7.17743234817424e-05
4.565892424,-0.0005800342136158673,7.177402713586575e-05
4.575954479,-0.0005800339466152868,7.177387863097182e-05
4.586059319,-0.0005800337317534961,7.177373704485182e-05
4.596152002,-0.0005800335621406394,7.17736100961828e-05
4.606425571,-0.0005800337045948458,7.177363446554176e-05
4.616326503,-0.0005800339500726826,7.177368328927154e-05
4.626408118,-0.0005800335980251049,7.177342653194975e-05
4.636415832,-0.0005800338495651584,7.177347182961836e-05
4.646513653,-0.0005800341266495503,7.177352686330734e-05
4.656879793,-0.0005800345678999737,7.177366137716833e-05
4.666926863,-0.0005800346974042846,7.177364318391825e-05
4.676995098,-0.0005800343693895442,7.177340105367965e-05
4.686984769,-0.000580034743799241,7.17735242751693e-05
4.69732988,-0.0005800347077289806,7.177343473122651e-05
4.707578846,-0.0005800345696932519,7.177333108992047e-05
4.717907085,-0.0005800343835602436,7.177321779242365e-05
4.728446358,-0.0005800340894234089,7.177304458401727e-05
4.738754276,-0.0005800342281677235,7.17730895432526e-05
4.749391059,-0.00058003445034383,7.177314525202961e-05
4.759912129,-0.0005800348551467356,7.177328245390685e-05
4.770274829,-0.0005800347762344345,7.177319964291658e-05
4.780610599,-0.0005800346329661856,7.177310169819199e-05
4.791060087,-0.0005800348043702077,7.177315475458113e-05
4.80137858,-0.0005800353795887021,7.177337601013169e-05
4.8117248,-0.0005800358739939141,7.177354034278573e-05
4.821808473,-0.0005800358531638456,7.177345981134527e-05
4.832159359,-0.0005800362232221074,7.177360023024183e-05
4.842200507,-0.0005800362519009471,7.177358934613593e-05
4.852235944,-0.0005800360126313586,7.177347894600614e-05
4.862335386,-0.0005800362745248342,7.17736055351173e-05
4.872636347,-0.0005800368542778636,7.177383550318814e-05
4.882873719,-0.0005800370550736586,7.177390218780842e-05
4.892983141,-0.0005800373270314083,7.177397986341178e-05
4.903044453,-0.0005800373232360987,7.177395523819737e-05
4.913284916,-0.0005800375885397875,7.177408393670907e-05
4.923206955,-0.000580037839350153,7.177421571773028e-05
