t,linear_x,angular_z
0.0,0.0,0.0
0.111232036,0.0,0.0
0.185489897,0.0,0.0
0.283879376,0.0,0.0
0.380012869,0.0,0.0
0.477152902,0.0,0.0
0.578789858,0.0,0.0
0.679472654,0.0,0.0
0.776706512,0.0,0.0
0.877014923,0.0,0.0
0.976588041,0.0,0.0
1.082548928,0.0,0.0
1.176455126,0.0,0.0
1.276681745,0.0,0.0
1.37660417,0.0,0.0
1.476563226,0.0,0.0
1.576562752,0.0,0.0
1.676495647,0.0,0.0
1.776488208,0.0,0.0
1.876498348,0.0,0.0
1.976479656,0.0,0.0
2.076508775,0.0,0.0
2.176534009,0.0,0.0
2.276478002,0.0,0.0
2.376439686,0.0,0.0
2.476453138,0.0,0.0
2.576502478,0.0,0.0
2.676562612,0.0,0.0
2.77646173,0.0,0.0
2.876445639,0.0,0.0
2.97657375,0.0,0.0
3.076319318,0.0,0.0
3.176891987,0.0,0.0
3.276803022,0.0,0.0
3.378666914,0.0,0.0
3.477475248,0.0,0.0
3.576558679,0.0,0.0
3.676461577,0.0,0.0
3.776422529,0.0,0.0
3.876572057,0.0,0.0
3.976648754,0.0,0.0
4.076665534,0.0,0.0
4.176570913,0.0,0.0
4.277359155,0.0,0.0
4.381669305,0.0,0.0
4.476359674,0.0,0.0
4.576434552,0.0,0.0
4.676419407,0.0,0.0
4.776636151,0.0,0.0
4.876465204,0.0,0.0
4.976342355,0.0,0.0
5.076424877,0.0,0.0
5.176508495,0.0,0.0
5.276691798,0.0,0.0
5.376385899,0.0,0.0
5.476370477,0.0,0.0
5.576316227,0.0,0.0
5.676433852,0.0,0.0
5.776408164,0.0,0.0
5.876388627,0.0,0.0
5.976396001,0.0,0.0
6.076437381,0.0,0.0
6.176433702,0.0,0.0
6.276365921,0.0,0.0
6.376455787,0.0,0.0
6.476437111,0.0,0.0
6.576394307,0.0,0.0
6.67645804,0.0,0.0
6.776457347,0.0,0.0
6.876416126,0.0,0.0
6.97641733,0.0,0.0
7.076450417,0.0,0.0
7.176315737,0.0,0.0
7.276311049,0.0,0.0
7.376485303,0.0,0.0
7.476457986,0.0,0.0
7.576561289,0.0,0.0
7.676363533,0.0,0.0
7.778195963,0.0,0.0
7.87826941,0.0,0.0
7.976305733,0.0,0.0
8.076531708,0.0,0.0
8.176497111,0.0,0.0
8.276390596,0.0,0.0
8.376488914,0.0,0.0
8.476444873,0.0,0.0
8.576470317,0.0,0.0
8.67639788,0.0,0.0
8.776428946,0.0,0.0
8.876437668,0.0,0.0
8.976413652,0.0,0.0
9.076363792,0.0,0.0
9.176431289,0.0,0.0
9.27646651,0.0,0.0
9.376396672,0.0,0.0
9.477010824,0.0,0.0
9.576415472,0.0,0.0
9.676375035,0.0,0.0
9.776383981,0.0,0.0
9.876496596,0.0,0.0
9.976451876,0.0,0.0
10.076456195,0.0,0.0
10.176376326,0.0,0.0
10.276562252,0.0,0.0
10.376498347,0.0,0.0
10.47639571,0.0,0.0
10.576440518,0.0,0.0
10.676349746,0.0,0.0
10.776467889,0.0,0.0
10.876472023,0.0,0.0
10.976411225,0.0,0.0
11.076408001,0.0,0.0
11.177079121,0.0,0.0
11.276921237,0.0,0.0
11.376401877,0.0,0.0
11.476436007,0.0,0.0
11.576323987,0.0,0.0
11.67640175,0.0,0.0
11.776421703,0.0,0.0
11.876387196,0.0,0.0
11.97642448,0.0,0.0
12.076481272,0.0,0.0
12.17632797,0.0,0.0
12.277166766,0.0,0.0
12.376463421,0.0,0.0
12.476458522,0.0,0.0
12.576400511,0.0,0.0
12.676335525,0.0,0.0
12.776411769,0.0,0.0
12.87634206,0.0,0.0
12.976598634,0.0,0.0
13.076484264,0.0,0.0
13.176521952,0.0,0.0
13.276400592,0.0,0.0
13.376505977,0.0,0.0
13.476377944,0.0,0.0
13.576319276,0.0,0.0
13.676870442,0.0,0.0
13.776458317,0.0,0.0
13.876445436,0.0,0.0
13.976370635,0.0,0.0
14.076481138,0.0,0.0
14.176686682,0.0,0.0
14.27650173,0.0,0.0
14.376302915,0.0,0.0
14.476505204,0.0,0.0
14.576429117,0.0,0.0
14.676371287,0.0,0.0
14.776520569,0.0,0.0
14.877509097,0.0,0.0
14.976446147,0.0,0.0
15.076359207,0.0,0.0
15.176426264,0.0,0.0
15.276439689,0.0,0.0
15.376357593,0.0,0.0
15.476354787,0.0,0.0
15.576455397,0.0,0.0
15.676424052,0.0,0.0
15.776382151,0.0,0.0
15.876423025,0.0,0.0
15.976310807,0.0,0.0
16.07645691,0.0,0.0
16.176447144,0.0,0.0
16.276469289,0.0,0.0
16.376509173,0.0,0.0
16.476514748,0.0,0.0
16.576412047,0.0,0.0
16.676436045,0.0,0.0
16.776448923,0.0,0.0
16.876395356,0.0,0.0
16.976482175,0.0,0.0
17.076349047,0.0,0.0
17.177244226,0.0,0.0
17.276497327,0.0,0.0
17.376389504,0.0,0.0
17.4763974,0.0,0.0
17.57629115,0.0,0.0
17.676446404,0.0,0.0
17.776397345,0.0,0.0
17.876368681,0.0,0.0
17.976407867,0.0,0.0
18.076458243,0.0,0.0
18.176319922,0.0,0.0
18.276486094,0.0,0.0
18.376420648,0.0,0.0
18.478091823,0.0,0.0
18.576565878,0.0,0.0
18.67947796,0.0,0.0
18.776586705,0.0,0.0
18.876325494,0.0,0.0
18.976440325,0.0,0.0
19.076560646,0.0,0.0
19.17646867,0.0,0.0
19.276387643,0.0,0.0
19.376425368,0.0,0.0
19.476385545,0.0,0.0
19.576528151,0.0,0.0
19.676415069,0.0,0.0
19.776484117,0.0,0.0
19.877256137,0.0,0.0
19.976401884,0.0,0.0
20.076458728,0.0,0.0
20.176392836,0.0,0.0
20.276329709,0.0,0.0
20.376504338,0.0,0.0
20.476417027,0.0,0.0
20.576471686,0.0,0.0
20.676469214,0.0,0.0
20.776408027,0.0,0.0
20.876303897,0.0,0.0
20.976455703,0.0,0.0
21.076405481,0.0,0.0
21.17632628,0.0,0.0
21.276468784,0.0,0.0
21.376385476,0.0,0.0
21.476490332,0.0,0.0
21.576360587,0.0,0.0
21.67695067,0.0,0.0
21.776369649,0.0,0.0
21.876470981,0.0,0.0
21.976383964,0.0,0.0
22.076608662,0.0,0.0
22.176470138,0.0,0.0
22.276408664,0.0,0.0
22.376899515,0.0,0.0
22.476417646,0.0,0.0
22.576494115,0.0,0.0
22.676442035,0.0,0.0
22.776471105,0.0,0.0
22.877260572,0.0,0.0
22.976462601,0.0,0.0
23.076510853,0.0,0.0
23.176430272,0.0,0.0
23.276388948,0.0,0.0
23.376496838,0.0,0.0
23.476430253,0.0,0.0
23.576458943,0.0,0.0
23.67640609,0.0,0.0
23.776415487,0.0,0.0
23.876482323,0.0,0.0
23.9764434,0.0,0.0
24.076388032,0.0,0.0
24.176459392,0.0,0.0
24.276588383,0.0,0.0
24.376361079,0.0,0.0
24.4765046,0.0,0.0
24.576479879,0.0,0.0
24.676440846,0.0,0.0
24.776323118,0.0,0.0
24.876336875,0.0,0.0
24.97642742,0.0,0.0
25.076390322,0.0,0.0
25.176460087,0.0,0.0
25.276339082,0.0,0.0
25.376460664,0.0,0.0
25.476418636,0.0,0.0
25.576442084,0.0,0.0
25.67637701,0.0,0.0
25.776376785,0.0,0.0
25.876591626,0.0,0.0
25.976844187,0.0,0.0
26.078337774,0.0,0.0
26.176483618,0.0,0.0
26.276507277,0.0,0.0
26.376522751,0.0,0.0
26.476397306,0.0,0.0
26.576391873,0.0,0.0
26.67666904,0.0,0.0
26.776534385,0.0,0.0
26.876446188,0.0,0.0
26.97642893,0.0,0.0
27.076350312,0.0,0.0
27.176485769,0.0,0.0
27.276338897,0.0,0.0
27.376859645,0.0,0.0
27.476513648,0.0,0.0
27.577058386,0.0,0.0
27.676414849,0.0,0.0
27.776564242,0.0,0.0
27.876479513,0.0,0.0
27.976471529,0.0,0.0
28.076446152,0.0,0.0
28.176336359,0.0,0.0
28.27653051,0.0,0.0
28.380426122,0.0,0.0
28.477818364,0.0,0.0
28.576406094,0.0,0.0
28.676423692,0.0,0.0
28.776500502,0.0,0.0
28.87646455,0.0,0.0
28.976482065,0.0,0.0
29.076423769,0.0,0.0
29.715492856,0.0,-0.4999999952104358
29.916836313,0.0,-0.4999999952104358
30.12165703,0.0,-0.4999999952104358
30.333567964,0.0,-0.4999999957929288
30.533928676,0.0,-0.4999999985416163
30.730862374,0.0,-0.5
30.927043699,0.0,-0.5
31.127631413,0.0,-0.5
31.317594475,0.0,-0.5
31.512323446,0.0,-0.5
31.702417335,0.0,-0.5
31.971445354,0.0,-0.5
32.228310925,0.0,-0.5
32.442070997,0.0,-0.5
32.632841281,0.0,-0.5
32.828199173,0.0,-0.5
33.016253798,0.0,-0.5
33.238388372,0.0,-0.5
33.428756214,0.0,-0.5
33.691714741,0.0,-0.5
33.882717466,0.0,-0.5
34.092856066,0.0,-0.5
34.316940916,0.0,-0.5
34.575269132,0.0,-0.5
34.780603799,0.0,-0.5
34.992637599,0.0,-0.5
35.211828269,0.0,-0.5
35.427112657,0.0,-0.5
35.633902627,0.0,-0.5
35.855670882,0.0,-0.5
36.073214546,0.0,-0.5
36.301368887,0.0,-0.5
36.554491172,0.0,-0.5
36.815506956,0.0,-0.5
37.130553334,0.0,-0.5
37.45084061,0.4483523719186761,-0.5
37.73320306,0.5,-0.5
38.030104582,0.5,-0.5
38.290144755,0.5,-0.5
38.520412766,0.5,-0.5
38.744679984,0.5,-0.5
38.973908288,0.5,-0.5
39.211974991,0.5,-0.5
39.433704348,0.5,-0.5
39.656750362,0.5,-0.5
39.892317709,0.5,-0.5
40.166730652,0.5,-0.5
40.450000426,0.5,-0.5
40.664097637,0.5,-0.5
40.91495855,0.5,-0.5
41.132481841,0.5,-0.5
41.415019499,0.5,-0.5
41.640607365,0.5,-0.5
41.891572451,0.5,-0.5
42.161654274,0.5,-0.499999824272722
42.392535186,0.5,-0.08780134846250118
42.61027283,0.5,0.33593622706564175
42.846112718,0.5,0.5
43.087387045,0.5,0.5
43.369445508,0.5,0.5
43.63161376,0.3652326763784749,0.5
43.861634921,0.5,0.5
44.092240687,0.5,0.5
44.311223955,0.3178891960681354,0.5
44.57254289,4.333866814760699e-08,0.49999997801218204
44.80273023,0.0,0.0
45.036670729,0.0,0.0
45.261751755,0.0,0.0
45.491886043,0.0,0.0
45.747764707,0.0,0.0
45.95516476,0.0,-0.5
46.180867267,0.0,0.5
46.464914637,0.0,0.5
46.767508512,0.5,0.5
47.00426029,0.5,-0.5
47.221661553,0.0,-0.5
47.439596333,0.0,0.0
47.665672425,0.0,0.0
47.882236043,0.5,0.5
48.093093332,0.5,-0.5
48.294495249,0.0,-0.5
48.492159667,0.0,0.5
48.808110268,0.2937528254191119,0.49999993616614913
49.019752826,0.0,-0.5
49.206637171,0.0,0.5
49.424065084,0.0,0.5
49.645089674,0.0,0.0
49.838689044,0.0,-0.5
50.027260737,0.0,0.5
50.265369106,0.0,0.5
50.498907684,0.5,-0.43952431764454747
50.732739829,0.0,0.0
50.926557538,0.0,0.5
51.171368818,0.5,0.5
51.414393679,0.5,-0.5
51.602519978,0.0,-0.5
51.797677564,0.0,0.5
52.014661012,0.5,0.5
52.232607316,0.5,-0.5
52.429544501,0.0,-0.5
52.622649864,0.0,0.5
52.835535574,0.5,0.5
53.057365774,0.5,-0.5
53.256806872,0.0,-0.5
53.451108992,0.0,0.5
53.666453761,0.5,0.5
53.889433132,0.5,-0.5
54.076838144,0.0,-0.5
54.297074544,0.0,0.5
